Release, File, Size, LocTouched, LocAdded, MaxLocAdded, AvgLocAdded, Nauth, Nfix, Nr, ChgSetSize, Buggy
1,src/java/org/apache/avro/ipc/RPCPlugin.java,53,82,78,74,0,[Douglass Cutting],0,2,22,No
1,src/test/java/org/apache/avro/RPCMetaTestPlugin.java,155,215,196,176,0,[Douglass Cutting],0,3,25,No
1,src/test/java/org/apache/avro/TestProtocolGenericMeta.java,26,42,42,42,0,[Douglass Cutting],0,1,11,No
1,src/test/java/org/apache/avro/TestProtocolReflectMeta.java,29,45,45,45,0,[Douglass Cutting],0,1,11,No
1,src/test/java/org/apache/avro/TestProtocolSpecificMeta.java,30,46,46,46,0,[Douglass Cutting],0,1,11,No
1,src/test/java/org/apache/avro/GenerateBlockingData.java,62,89,87,85,0,[Douglass Cutting],0,2,25,No
1,src/test/java/org/apache/avro/io/TestBlockingIO2.java,141,163,163,163,0,[Douglass Cutting],0,1,1,No
1,src/test/java/org/apache/avro/BarRecord.java,35,65,58,35,0,[Douglass Cutting],0,5,49,No
1,src/test/java/org/apache/avro/FooRecord.java,31,51,49,33,0,[Douglass Cutting],0,3,29,No
1,src/test/java/org/apache/avro/TestDataFileReflect.java,169,385,285,142,0,[Douglass Cutting],0,9,118,No
1,src/java/org/apache/avro/io/BinaryData.java,175,370,281,190,0,[Douglass Cutting],0,3,27,No
1,src/test/java/org/apache/avro/TestCompare.java,224,334,287,160,0,[Douglass Cutting],0,7,93,No
1,src/java/org/apache/avro/generic/GenericContainer.java,9,27,27,27,0,[Douglass Cutting],0,1,22,No
1,src/java/org/apache/avro/specific/SpecificData.java,237,354,306,162,0,[Douglass Cutting],0,10,101,No
1,src/java/org/apache/avro/ipc/DatagramServer.java,61,79,79,79,0,[Douglass Cutting],0,1,11,No
1,src/java/org/apache/avro/ipc/DatagramTransceiver.java,67,84,84,84,0,[Douglass Cutting],0,1,11,No
1,src/java/org/apache/avro/ipc/Server.java,12,29,29,29,0,[Douglass Cutting],0,1,11,No
1,src/test/java/org/apache/avro/TestProtocolDatagram.java,26,42,42,42,0,[Douglass Cutting],0,1,11,No
1,src/test/java/org/apache/avro/TestNamespaceReflect.java,23,39,39,39,0,[Douglass Cutting],0,1,24,No
1,src/test/java/org/apache/avro/TestNamespaceSpecific.java,75,107,99,98,0,[Douglass Cutting],0,2,47,No
1,src/java/org/apache/avro/ipc/HttpTransceiver.java,94,128,120,116,0,[Douglass Cutting],1,4,29,Si
1,src/test/java/org/apache/avro/TestBulkData.java,99,123,119,110,0,[Douglass Cutting],0,2,25,No
1,src/java/org/apache/avro/ipc/HttpServer.java,42,111,85,76,0,[Douglass Cutting],1,2,4,Si
1,src/test/java/org/apache/avro/TestProtocolHttp.java,24,42,41,41,0,[Douglass Cutting],1,2,25,Si
1,src/java/org/apache/avro/file/DataFileConstants.java,19,41,39,38,0,[Douglass Cutting],0,2,11,No
1,src/java/org/apache/avro/ipc/ResponderServlet.java,38,56,56,56,0,[Douglass Cutting],0,1,2,No
1,src/test/java/org/apache/avro/io/TestResolvingIOResolving.java,104,14,7,7,0,[Douglass Cutting],0,1,23,No
1,src/test/java/org/apache/avro/specific/TestSpecificCompiler.java,225,287,264,73,0,[Douglass Cutting],0,5,14,No
1,src/java/org/apache/avro/tool/Main.java,62,105,93,58,0,[Douglass Cutting],1,7,27,Si
1,src/java/org/apache/avro/tool/Tool.java,32,63,57,34,0,[Douglass Cutting],1,4,11,Si
1,src/java/org/apache/avro/specific/FixedSize.java,17,2,1,1,0,[Douglass Cutting],0,1,15,No
1,src/java/org/apache/avro/util/WeakIdentityHashMap.java,138,338,169,169,0,[Douglass Cutting],0,2,17,No
1,src/java/org/apache/avro/reflect/InduceSchemaTool.java,59,91,84,59,0,[Douglass Cutting],0,4,10,No
1,src/java/org/apache/avro/reflect/Union.java,17,47,43,37,0,[Douglass Cutting],0,2,8,No
1,src/java/org/apache/avro/reflect/Stringable.java,14,34,34,34,0,[Douglass Cutting],0,1,7,No
1,src/java/org/apache/avro/tool/BinaryFragmentToJsonTool.java,67,84,84,84,0,[Douglass Cutting],0,1,10,No
1,src/java/org/apache/avro/tool/DataFileGetSchemaTool.java,37,54,54,54,0,[Douglass Cutting],0,1,10,No
1,src/java/org/apache/avro/tool/DataFileReadTool.java,61,82,80,79,0,[Douglass Cutting],0,2,19,No
1,src/java/org/apache/avro/tool/DataFileWriteTool.java,65,86,84,82,0,[Douglass Cutting],0,2,19,No
1,src/java/org/apache/avro/tool/JsonToBinaryFragmentTool.java,60,77,77,77,0,[Douglass Cutting],0,1,10,No
1,src/java/org/apache/avro/tool/Util.java,40,57,57,39,0,[Douglass Cutting],0,2,15,No
1,src/test/java/org/apache/avro/AvroTestUtil.java,15,32,32,32,0,[Douglass Cutting],0,1,10,No
1,src/test/java/org/apache/avro/tool/TestDataFileTools.java,164,192,186,181,0,[Douglass Cutting],0,2,19,No
1,src/test/java/org/apache/avro/tool/TestJsonToFromBinaryFragmentTools.java,47,66,66,66,0,[Douglass Cutting],0,1,10,No
1,src/java/org/apache/avro/tool/RpcReceiveTool.java,121,140,140,140,0,[Douglass Cutting],0,1,5,No
1,src/java/org/apache/avro/tool/RpcSendTool.java,80,98,98,98,0,[Douglass Cutting],0,1,5,No
1,src/test/java/org/apache/avro/tool/TestRpcReceiveAndSendTools.java,42,58,58,58,0,[Douglass Cutting],0,1,5,No
1,src/test/java/org/apache/avro/genavro/TestGenAvro.java,128,161,159,155,0,[Douglass Cutting],0,2,3,No
1,src/java/org/apache/avro/tool/GenAvroTool.java,59,78,78,78,0,[Douglass Cutting],0,1,3,No
1,src/java/org/apache/avro/file/DataFileStream.java,157,177,177,177,0,[Douglass Cutting],0,1,9,No
1,src/java/org/apache/avro/ipc/LocalTransceiver.java,35,52,52,52,0,[Douglass Cutting],0,1,1,No
1,src/test/java/org/apache/avro/ipc/TestLocalTransceiver.java,48,64,64,64,0,[Douglass Cutting],0,1,1,No
1,src/test/java/org/apache/avro/TestProtocolParsing.java,26,42,42,42,0,[Douglass Cutting],0,1,8,No
1,src/java/org/apache/avro/ipc/stats/FloatHistogram.java,34,54,54,54,0,[Douglass Cutting],0,1,9,No
1,src/java/org/apache/avro/ipc/stats/Histogram.java,181,205,205,205,0,[Douglass Cutting],0,1,9,No
1,src/java/org/apache/avro/ipc/stats/StatsPlugin.java,99,121,121,121,0,[Douglass Cutting],0,1,9,No
1,src/java/org/apache/avro/ipc/stats/StatsServlet.java,84,107,107,107,0,[Douglass Cutting],0,1,9,No
1,src/java/org/apache/avro/ipc/stats/Stopwatch.java,57,74,74,74,0,[Douglass Cutting],0,1,9,No
1,src/test/java/org/apache/avro/ipc/stats/FakeTicks.java,18,35,35,35,0,[Douglass Cutting],0,1,9,No
1,src/test/java/org/apache/avro/ipc/stats/StatsPluginOverhead.java,81,103,103,103,0,[Douglass Cutting],0,1,9,No
1,src/test/java/org/apache/avro/ipc/stats/TestHistogram.java,78,94,94,94,0,[Douglass Cutting],0,1,9,No
1,src/test/java/org/apache/avro/ipc/stats/TestStatsPluginAndServlet.java,164,180,180,180,0,[Douglass Cutting],0,1,9,No
1,src/test/java/org/apache/avro/ipc/stats/TestStopwatch.java,64,80,80,80,0,[Douglass Cutting],0,1,9,No
1,src/test/java/org/apache/avro/generic/TestGenericData.java,20,36,36,36,0,[Douglass Cutting],0,1,1,No
1,lang/java/src/java/org/apache/avro/Schema.java,1297,657,544,196,0,[Douglass Cutting, Philip Zeyliger, Thiruvalluvan M. G, Doug Cutting],1,15,85,Si
1,lang/java/src/java/org/apache/avro/AvroRuntimeException.java,11,0,0,0,0,[Douglass Cutting],0,1,50,No
1,lang/java/src/java/org/apache/avro/AvroTypeException.java,11,0,0,0,0,[Douglass Cutting],0,1,50,No
1,lang/java/src/java/org/apache/avro/Protocol.java,414,138,100,95,0,[Douglass Cutting, Thiruvalluvan M. G],0,4,93,No
1,lang/java/src/java/org/apache/avro/SchemaParseException.java,8,0,0,0,0,[Douglass Cutting],0,1,50,No
1,lang/java/src/java/org/apache/avro/file/DataFileConstants.java,20,9,5,4,0,[Douglass Cutting, Philip Zeyliger],0,3,57,No
1,lang/java/src/java/org/apache/avro/file/DataFileReader.java,189,169,114,66,0,[Douglass Cutting, Doug Cutting],0,6,93,No
1,lang/java/src/java/org/apache/avro/file/DataFileStream.java,321,312,238,66,0,[Douglass Cutting, Philip Zeyliger],0,10,130,No
1,lang/java/src/java/org/apache/avro/file/DataFileWriter.java,347,280,206,76,0,[Douglass Cutting, Philip Zeyliger, Thiruvalluvan M. G, Doug Cutting],0,11,116,No
1,lang/java/src/java/org/apache/avro/file/SeekableFileInput.java,19,0,0,0,0,[Douglass Cutting],0,1,50,No
1,lang/java/src/java/org/apache/avro/file/SeekableInput.java,19,0,0,0,0,[Douglass Cutting],0,1,50,No
1,lang/java/src/java/org/apache/avro/generic/GenericArray.java,15,18,7,4,0,[Douglass Cutting],0,3,59,No
1,lang/java/src/java/org/apache/avro/generic/GenericContainer.java,9,0,0,0,0,[Douglass Cutting],0,1,50,No
1,lang/java/src/java/org/apache/avro/generic/GenericData.java,542,206,138,28,0,[Douglass Cutting, Philip Zeyliger, Thiruvalluvan M. G, Scott Carey, Doug Cutting],0,14,159,No
1,lang/java/src/java/org/apache/avro/generic/GenericDatumReader.java,364,426,166,63,0,[Douglass Cutting, Philip Zeyliger, Thiruvalluvan M. G],0,13,138,No
1,lang/java/src/java/org/apache/avro/generic/GenericDatumWriter.java,185,99,52,37,0,[Douglass Cutting, Thiruvalluvan M. G],0,8,127,No
1,lang/java/src/java/org/apache/avro/generic/GenericFixed.java,7,0,0,0,0,[Douglass Cutting],0,1,50,No
1,lang/java/src/java/org/apache/avro/generic/GenericRecord.java,10,9,3,3,0,[Douglass Cutting],0,2,62,No
1,lang/java/src/java/org/apache/avro/generic/GenericRequestor.java,56,26,22,14,0,[Douglass Cutting],0,4,91,No
1,lang/java/src/java/org/apache/avro/generic/GenericResponder.java,39,6,4,4,0,[Douglass Cutting],0,2,60,No
1,lang/java/src/java/org/apache/avro/io/BinaryData.java,277,168,135,107,0,[Douglass Cutting, Thiruvalluvan M. G],0,4,118,No
1,lang/java/src/java/org/apache/avro/io/BinaryDecoder.java,956,1012,847,813,0,[Douglass Cutting, Thiruvalluvan M. G],0,4,74,No
1,lang/java/src/java/org/apache/avro/io/BinaryEncoder.java,229,20,16,13,0,[Douglass Cutting, Thiruvalluvan M. G],0,3,58,No
1,lang/java/src/java/org/apache/avro/io/BlockingBinaryEncoder.java,604,32,20,10,0,[Douglass Cutting, Thiruvalluvan M. G],0,3,57,No
1,lang/java/src/java/org/apache/avro/io/DatumReader.java,19,2,1,1,0,[Douglass Cutting],0,2,52,No
1,lang/java/src/java/org/apache/avro/io/DatumWriter.java,17,0,0,0,0,[Douglass Cutting],0,1,50,No
1,lang/java/src/java/org/apache/avro/io/Decoder.java,257,9,8,8,0,[Douglass Cutting],0,2,73,No
1,lang/java/src/java/org/apache/avro/io/Encoder.java,253,18,17,17,0,[Douglass Cutting],0,2,56,No
1,lang/java/src/java/org/apache/avro/io/JsonDecoder.java,408,16,9,2,0,[Douglass Cutting, Thiruvalluvan M. G],0,6,107,No
1,lang/java/src/java/org/apache/avro/io/JsonEncoder.java,232,37,24,12,0,[Douglass Cutting, Thiruvalluvan M. G],0,7,98,No
1,lang/java/src/java/org/apache/avro/io/ParsingDecoder.java,57,0,0,0,0,[Douglass Cutting],0,1,50,No
1,lang/java/src/java/org/apache/avro/io/ParsingEncoder.java,52,0,0,0,0,[Douglass Cutting],0,1,50,No
1,lang/java/src/java/org/apache/avro/io/ResolvingDecoder.java,232,217,137,49,0,[Douglass Cutting, Thiruvalluvan M. G],0,13,138,No
1,lang/java/src/java/org/apache/avro/io/ValidatingDecoder.java,218,18,13,6,0,[Douglass Cutting, Thiruvalluvan M. G],0,7,97,No
1,lang/java/src/java/org/apache/avro/io/ValidatingEncoder.java,195,20,16,12,0,[Douglass Cutting, Thiruvalluvan M. G],0,6,92,No
1,lang/java/src/java/org/apache/avro/io/parsing/JsonGrammarGenerator.java,80,24,11,4,0,[Douglass Cutting, Thiruvalluvan M. G],0,5,101,No
1,lang/java/src/java/org/apache/avro/io/parsing/Parser.java,162,216,121,34,0,[Douglass Cutting, Thiruvalluvan M. G],0,6,94,No
